N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr1:12275493	0.48	0.72	0.67	0.62	0.6	0.49	0.62	0.29	0.37	0.56	0.37	0.53	0.44	0.67	0.63	0.73	0.71	0.58	0.85	0.46	0.62	0.55	0.49	0.76	0.51	0.6	0.52	0.49	0.46	0.55	0.42	0.67	0.51	0.52	0.57	0.58	0.58	0.72	0.61	0.6	0.55	0.62	0.64	0.45	0.55	0.73	0.78	0.73	0.58	0.65	0.71	0.55	0.14	0.6	0.63	0.65	0.57	0.65	0.66	0.45	0.74	0.64	0.67	0.72	0.65	0.68	0.58	0.5	0.61	0.71	0.62	0.64	0.66	0.61	0.72	0.71	0.68	0.6	0.76	0.62	0.74	0.57	0.72	0.22	0.58	0.65	0.76	0.53	0.54	0.52	0.64	0.62	0.44	0.56	0.67	0.64	0.63	0.61	0.63	0.53	0.69	0.82	0.55	0.73	0.44	0.63	0.76	0.52	0.54	0.6	0.82	0.69	0.58	0.6	0.63	0.59	0.62	0.62	0.44	0.52	0.76	0.62	0.39	0.72	0.63	0.75	0.54	0.55
chr1:12276458	0.47	1	0.67	0.76	0.58	0.62	0.79	0.71	0.67	0.88	0.67	0.5	0.7	0.64	0.57	0.67	1	0	0.69	0.54	0	0.91	0.8	0.67	0.65	1	0.64	0.79	0.89	0.8	0.5	0	1	0	0.83	0.91	0.67	0.69	0.5	0.7	0.92	0.89	0.88	0.89	0.67	0.82	0.73	0.71	0.86	0.33	0.71	0.88	0.67	0.6	0.83	0.77	1	0.77	0.78	0.92	0.73	0	0.82	0.71	0.86	0.5	0.81	0.73	1	0.67	0.72	0.79	0.92	0.5	0.77	0.62	0.8	0.67	0.5	0.36	0.9	0.8	0.8	0.56	0.5	0.71	0.7	0.53	0.88	0.56	0.69	0.89	0.75	0.78	0.67	0	1	0.31	0.7	0.75	1	0.67	0.83	0.86	0.78	0.69	0.62	0.36	1	0.5	0.77	0.83	0.78	0.75	0.93	0.91	0	0.83	0.82	0.71	0.67	0.83	0.65	0.67	0.71	0.94	0.73	0.78
chr1:12781692	0	0	0.5	0.75	0.5	0.75	0	0.67	0.4	0.57	0.5	0.83	0.8	0.86	0.5	0	0.8	0.83	0	0.85	0	0.91	0.75	0	0.38	0.83	0.84	0.83	0.86	0.46	0	0	0.7	0	0	0	0.33	0.71	0.43	0	1	0.73	0.67	0.83	0.85	0.62	0.8	0	0.64	0.67	0.7	0.6	0.6	0	1	0.8	0.91	0.91	0.83	0.75	0	0	0.86	0	0.53	1	0	0.56	0.74	0.71	0.56	0.5	0	0.77	0.85	0.6	0	0.77	0	0.52	0.5	0.7	0.71	0	0	0.33	0.29	0.88	0.88	0.55	0.22	0.38	0.75	0.85	0	0	0.91	1	0	0.89	0.6	0.33	0.9	0.88	0.27	0.89	0.5	0.71	0.77	0	0	0.57	0	0.83	1	0.75	0	0	0	0.67	0.43	0.8	0.55	0.44	0	0	0.33	0
chr1:13228513	0.62	0.61	0.38	0.47	0.37	0.75	0.38	0.44	0.2	0.5	0.47	0.59	0.85	0.47	0.43	0.57	0.5	0	0.59	0.47	0.57	0.52	0.54	0.43	0.62	0.38	0.51	0.39	0.33	0.66	0.64	0.3	0.5	0.41	0.22	0.58	0.33	0.42	0.35	0.46	0.38	0.54	0.61	0.5	0.43	0.32	0.62	0.42	0.52	0.28	0.32	0.43	0.7	0.59	0.56	0.3	0.38	0.58	0.36	0.76	0.53	0.59	0.57	0.37	0.41	0.56	0.52	0.48	0.44	0.69	0.38	0.53	0.62	0.35	0.5	0.21	0.56	0.61	0.63	0.47	0.54	0.76	0.54	0.58	0.5	0.44	0.36	0.43	0.48	0.41	0.54	0.33	0.45	0.56	0.32	0.43	0.45	0.53	0.77	0.48	0.45	0.4	0.38	0.56	0.46	0.41	0.45	0.53	0.6	0.61	0.53	0.52	0.26	0.42	0.48	0.52	0.67	0.43	0.59	0.5	0.52	0.42	0.42	0.53	0.44	0.42	0.32	0.41
chr1:13807396	0.25	0.53	0.44	0.38	0.44	0	0.42	0.25	0.27	0.44	0.5	0.33	0.21	0.24	0.5	0.42	0.42	0.23	0.3	0.3	0.36	0.32	0.67	0.33	0.5	0.2	0.54	0.56	0.4	0.55	0.38	0.33	0.55	0.45	0.29	0.43	0.75	0.64	0.45	0.42	0.69	0.55	0.41	0.45	0.3	0.33	0.33	0.19	0.38	0.29	0.43	0.21	0.5	0.29	0.05	0.33	0.18	0.59	0.58	0.53	0.4	0.53	0.27	0.37	0.71	0.25	0.25	0	0.48	0.38	0.36	0.21	0.47	0.39	0.46	0.14	0.56	0.43	0.4	0.5	0.53	0.45	0.4	0.16	0.23	0.35	0.25	0.53	0.29	0.71	0.42	0.47	0.4	0.77	0.54	0.62	0.08	0.16	0.39	0.43	0	0.31	0.37	0.47	0.4	0.56	0.33	0.35	0.44	0.56	0	0.17	0.42	0.38	0.44	0.56	0.33	0.5	0	0.62	0.55	0.5	0.45	0.23	0.43	0	0.44	0.38
chr1:13810023	0	0	0.44	0	0	0.67	1	0.4	0.6	0	0	0	0.5	0	0.71	1	0.8	0	0.67	0.86	0	1	0	0	0.83	1	0.7	0.78	0	0.62	0	0	0	0	0	0.38	0	0.71	0	0	0.71	0.5	0.57	0	0.75	0.75	0	0.88	0.71	0.8	0.62	0	0.67	0	0.67	0	0	0.67	1	0	1	0.8	0	0.7	0.8	0.86	0.91	0	0	1	0.8	0.67	0	1	1	0.88	0	0	1	0.86	0	0	0	0	0	0.73	0.8	0.75	0.67	0.83	1	0.86	0.62	0.71	0	0	1	0.8	0.8	0	0	0.83	0.86	0	0.75	0	0.8	0	0.86	0.6	1	0	0	0.8	0.67	0	0	0	0.7	0.6	0	0	0.89	1	0	0.71	1	0
chr1:13811697	0.62	0.92	0.57	0.55	0.74	0.6	0.44	0.67	0.67	0.28	0.5	0.67	0.88	0.86	0.74	0.31	0.73	0.67	0.67	0.8	0.8	0.6	0.69	0.65	0.57	0.71	0.73	0.71	0.61	0.81	0.92	0.6	0.5	0.88	0.82	0.9	0.62	0.5	0.8	0.67	0.59	0.57	0.82	0.5	0.86	0.45	0.73	0.52	0.88	0.67	0.54	0.75	0.78	0.69	0.93	0.67	0.7	0.81	0.58	0.71	0.92	0.8	0.85	0.62	0.64	0.71	0.5	0.59	0.5	0.85	0.36	0.71	0.71	0.83	0.69	0.74	0.79	0.89	0.8	0.4	0.55	0.79	0.45	0.79	0.86	0.76	0.72	0.79	0.41	0.5	0.56	0.7	0.92	0.5	0.76	0.85	0.67	0.89	0.94	0.64	0.62	0.57	0.54	0.5	0.56	0.67	0.67	0.55	0.56	0.7	0.7	0.82	0.77	0.77	0.88	0.6	0	0.54	0.5	0.58	0.75	0.67	0.61	0.67	0.6	0.83	0.67	0.83
chr1:13930288	0.8	0	0	0.6	1	0	0.75	0.2	0	0.4	0.6	0.75	0.8	0.6	0.7	0	0.71	0	0.62	0.55	0	0.6	0.67	0.8	0.77	0.83	0	0	0.29	0.6	0.78	0	0	0	0	0.8	1	0	0	0	0.73	0.4	1	0.7	0.88	0.78	0.67	0.6	0.71	0.5	0.8	0.67	1	0.83	0.6	0.5	0.71	0.62	0.67	0.4	0.8	0.67	0.71	0.44	0.5	0.73	0.67	0.53	0	0.75	0.6	0.69	0	0.6	0.73	0	0.4	0	0.75	0.8	0.5	0.44	0	0	0	0.5	0.5	0.73	0.33	0.64	0.86	0.62	0.67	0.8	0	0	0	0	0	0	0	0.62	0.58	0	0.82	0	0.5	0.75	0.67	0.7	0	0	0	0	0.55	0.89	0	0.6	0.75	0.64	0.67	0	0	0.64	0.88	0.92	0.65	0
chr1:15784388	0.8	0	0	0.71	0	0	0.17	0.67	0.73	0.4	0	0.67	0	0	0.67	0	0.71	0	0.78	0.44	0	0.43	0.89	0.4	0.62	0.6	0.88	0	0	0	0	0	0	0	0	0.5	0	0.6	0.67	0.86	0	0	0.57	0	0.67	1	0.67	0.86	0	1	0.8	0.5	0.43	0.6	0.86	0.7	0	0	0	0.7	0.43	0.4	0	0.58	0.62	0.5	0.43	0.67	0.8	0	0.77	0.57	1	0.5	0.6	1	0	0.43	0.67	1	1	0	0	0.8	0	0.57	1	0.79	0.62	0.56	1	0.67	0.57	1	0.8	0	0.71	0.88	0.8	0.83	0.8	0.38	0.83	0	0.6	0.4	0	0	0.57	0.86	0	0	0	0	0.62	0	0	0	0.64	0.86	0.57	1	0	0.71	0.71	0.8	0.5	0
chr1:15957637	0.74	0.89	0.73	0.6	0.59	0.6	0.74	0.56	0.61	0.53	0.65	0.58	0.77	0.84	0.72	0.7	0.5	0.77	0.75	0.35	0.76	0.68	0.75	0.83	0.82	0.54	0.71	0.79	0.53	0.83	0.83	0.6	0.96	0.75	0.79	0.88	0.79	0.7	0.83	0.78	0.81	0.75	0.86	0.62	0.82	0.53	0.84	0.68	0.72	0.75	0.83	0.7	0.5	0.77	0.85	0.69	0.8	0.71	0.82	0.75	0.68	0.86	0.8	0.62	0.7	0.65	0.73	0.6	0.62	0.58	0.68	0.68	0.58	0.57	0.83	0.81	0.55	0.76	0.5	0.71	0.64	0.87	0.8	0.6	0.73	0.89	0.81	0.71	0.94	0.58	0.54	0.62	0.72	0.8	1	0.76	0.83	0.74	0.78	0.86	0.65	0.71	0.57	0.69	0.76	0.86	0.72	0.74	0.86	0.92	0.72	0.53	0.55	0.68	0.79	0.7	0.6	0.71	0.63	0.7	0.71	0.9	0.63	0.56	0.85	0.82	0.86	0.83
chr1:16910337	0.77	0.69	0.67	0.7	0.74	0.63	0.69	0.69	0.86	0.74	0.75	0.64	0.5	0.63	0.58	0.74	0.75	0.53	0.53	0.5	0.79	0.67	0.67	0.69	0.71	0.8	0.55	0.48	0.67	0.64	0.71	0.82	0.47	0.75	0.71	0.58	0.75	0.64	0.68	0.86	0.5	0.73	0.81	0.65	0.6	0.62	0.62	0.76	0.63	0.71	0.68	0.65	0.68	0.48	0.65	0.67	0.31	0.78	0.67	0.79	0.58	0.69	0.86	0.68	0.68	0.5	0.45	0.65	0.51	0.61	0.63	0.54	0.81	0.71	0.57	0.69	0.75	0.73	0.71	0.71	0.74	0.86	0.57	0.65	0.67	0.62	0.57	0.71	0.75	0.37	0.62	0.83	0.88	0.71	0.77	0.75	0.55	0.76	0.56	0.7	0.5	0.65	0.6	0.72	0.63	0.65	0.86	0.67	0.7	0.48	0.65	0.58	0.67	0.57	0.78	0.73	0	0.7	0.8	0.62	0.58	0.71	0.64	0.59	0.73	0.77	0.69	0.89
chr1:17378312	1	0	0	0.71	1	0	0	0	0	0.83	0.89	0.86	1	0	0	0	0.8	0	1	0.7	0	0.9	0	0	0.82	0.91	0.89	0	0	0	0	0	0	0	0	0.8	0.6	0	0	0	0.78	0	1	0	0.86	0	0.75	0	1	0.86	1	0	0.6	0.57	0.83	1	0.86	0	1	1	0	0	0	0.9	0.8	0.38	0	1	0	0	0.93	1	0	0.7	0	1	0	1	1	0.67	1	0	0	0	0	1	0.86	0.91	0	0.8	0.8	1	0	0.83	0	0	0	0.89	1	0	0	0	1	0	1	0.86	1	1	1	1	0	0.83	1	0	1	0	0	0	0.8	0	0	0	1	1	1	1	1	0
chr1:17401658	0.79	0.57	0.56	0.71	0.69	0	0.82	0.43	0.5	0.71	0.8	0.94	0.5	0.75	0.81	1	0.56	0	0.67	0.75	0.33	0.83	0.92	0.76	0.63	0.67	0.67	0.7	0.6	0.64	0.8	0	0.75	1	0.92	0.9	0.67	0.82	0	0.71	0.38	0.6	0.75	0.64	0.62	0.71	0.75	0.86	0.73	0.9	1	0.71	0.58	0.87	0.72	0.89	0.83	0.79	0.79	1	0.91	1	0.62	0.95	0.71	0.8	0.79	0.69	0.86	0.75	0.5	0.67	0.4	0.8	0.88	0.88	0	0.56	0.43	0.92	0.7	0.89	1	1	0	0.76	0.93	0.5	0	0.6	0.91	0.82	0.88	0.7	0.5	1	0.5	0.56	0.92	0.71	0	0.5	0.8	0.85	0.82	0.91	0.8	0.75	0.71	0.71	0.67	1	0.86	0.71	0.91	0.83	0	0.73	0.83	0.78	0.79	0.67	0.5	0.92	0.69	0.85	0.63	0
chr1:17943092	0.6	0	0	0.86	0	0.83	0.47	0.5	0.71	0.86	0.58	0.4	1	0.8	0.82	0.75	0.4	0	0.71	0.33	0.2	0.4	0.67	0.82	0.69	0.27	0.67	0.62	0	0.4	0.8	0	0.62	0.75	0.5	0.7	0.5	0.83	0.64	0.6	0.5	0.44	0.78	0.65	0.58	0.5	0.69	0.57	0.6	0.7	0.91	0.67	0.4	0.62	0.71	0.62	0.88	0.85	0.86	0.71	0.88	0.45	0.62	0.73	0.4	0.8	0.71	0.57	0.43	0.62	0.64	0.68	0	0.75	0.69	0.64	0.67	0.62	0.75	0.5	0.64	0.64	0.88	0	0	0.61	0.87	0.33	0.5	0.58	0	0.53	0.8	0	0.62	0	1	0.6	0.56	0	0	0.81	0.65	0.5	0.8	0.88	0.36	0.7	0.73	0.9	0.6	1	0.5	0.7	0.33	0	0	0.86	0.58	0.47	0.7	0.5	0.5	0.85	0	0.61	0.58	0
chr1:17999064	0.45	0.14	0.33	0.37	0.27	0.15	0.44	0.25	0.43	0.47	0.32	0.27	0.08	0.27	0.55	0.25	0.43	0	0.22	0.31	0.67	0.2	0.31	0.58	0.43	0.27	0.44	0.17	0.33	0.33	0.17	0	0.42	0	0.36	0.17	0.29	0.5	0.25	0.64	0.35	0.5	0.25	0.42	0.22	0.29	0.67	0.4	0.59	0.36	0.14	0.53	0.53	0.3	0.33	0.2	0.14	0.45	0.35	0.45	0.27	0.17	0.29	0.3	0.38	0.38	0.26	0.25	0.44	0.44	0.36	0.23	0.38	0.29	0.22	0.33	0.8	0.23	0.38	0.33	0.64	0.31	0	0.69	0.33	0.37	0.45	0.55	0.2	0.53	0.26	0.18	0.42	0.52	0.2	0.67	0.29	0.53	0.65	0.67	0.44	0.45	0.5	0.2	0.31	0.38	0.56	0.25	0.1	0.27	0	0.14	0.31	0.55	0.47	0.11	0.6	0.29	0.35	0.5	0.6	0.45	0.52	0	0.38	0.38	0.56	0.5
chr1:18149090	1	0	0	0.56	1	0.5	0.88	0	0.8	0	0	0.4	0.67	0	0.73	0	0.71	0	0.86	0.57	0	0.88	1	0.6	0.81	0.8	0.62	0.83	0	0.44	0.6	0	0.67	0	0.56	1	0.71	0.78	0	1	0	0.8	0.9	0.88	0.86	1	0.85	0.71	0.89	0.5	0.89	0.8	0.8	0.8	0.77	0.71	0.67	0	0.5	0	0.86	0.71	0.56	0.73	0.83	0	0.89	0.62	0.6	0.4	0.6	0.54	0	0.69	1	0.86	0	1	1	0.86	0.71	0.8	0	0	0	0.89	1	0.78	0.86	0.62	0	0.78	0.62	0.83	1	0	0	0.69	0.67	0	1	0	0.64	0.8	0.82	0.57	0.89	1	0.8	0.71	0.57	1	0	0	0.67	0	0	0	0.79	0.71	0.83	0.6	0.79	0.56	0.67	0.91	0.93	0
chr1:18221926	0.78	0.83	0.56	0.91	0.83	0.71	0.29	0.89	0.67	0.64	0.56	0.83	0.77	0.78	0.89	0.88	0.71	0	0.83	0.64	0	0.38	0	0.56	0.69	0.64	0.71	0.71	0.62	0.67	1	0	0	0.62	0	0.62	0.62	0.88	0	0.67	0.89	0.75	0.6	0.5	0.71	0.57	0.9	0.83	0.67	0.8	0.77	0.8	0.77	0.5	0.88	0.7	0.77	0.5	0.75	0.75	0.85	0.83	0	0.8	0	0.75	0.5	0.75	0.91	0.75	0.63	0.72	0.83	1	0.88	0.6	0.83	1	0.83	0.69	0.86	1	0.83	0.5	0.67	0.92	0.75	0.64	0.57	0.86	0.43	0.82	0.71	0.73	0.56	0	0.75	1	0.92	0.78	0.67	0.73	0.82	0	0.8	0.77	0.62	0.83	0.89	0.64	0	0	0	0.6	0.5	0.83	0	0	0.73	0.71	0.6	0.75	0.64	0.91	0.69	0.8	0.56	0
chr1:18322515	0.83	0.86	0.45	0.62	0.12	0	0.56	0.2	0.86	0.33	0.57	0	0	0	0.6	0	0.5	0	0.86	0.86	0	0.92	0.71	0	0.6	0.78	0.86	0.43	0	0	0	0	1	0.6	0	0.83	0	0	0.78	0.67	0.2	1	0	0.86	0.67	0.83	0.78	0	0	0	0.6	0	0.5	0	0	0.6	0	1	1	0	0	0.86	1	0.33	0.57	0.57	0	0.8	0.29	0.83	0.67	0.43	0	0.75	0.33	0.89	0	0	0	0.8	0.83	0	0	0	0	0.67	1	0.71	0	0.78	0	1	0.67	0.8	0	0	0.8	0	0	0.67	0	0.88	0	0.8	0.82	0	0.38	0	0.62	0.75	0	0	1	0.5	0.71	0.62	0	0	0.62	0.71	0.67	0	0.6	0.62	0.9	0.92	0.56	0
chr1:18360210	0.56	0.6	0.71	0.73	0.71	0.69	0.68	0.75	0.73	1	0.38	0.67	0.83	0.62	0.67	0.67	0.73	0.82	0.56	0.67	0.57	0.87	0.8	0.85	0.62	0.8	0.45	0.79	0.2	0.59	0	0.6	0.82	1	0.71	0.78	0.5	0.8	0.57	0.67	0.8	0.53	0.5	0.82	0.83	0.57	0.67	0.72	0.5	0.73	0.59	0.55	0.47	0.79	0.68	0.9	0.6	0.69	0.64	0.86	0.69	0.89	0.57	0.82	0.82	0.7	0.64	0.78	0.79	0.46	0.74	0.77	0.67	0.63	0.78	0.83	0.71	0.5	0.8	0.8	0.58	0.64	0.83	0.71	0	0.64	0.69	0.43	0.86	0.92	0.83	0.82	0.8	0.73	0.89	0.56	0.86	0.88	0.73	0.67	0	0.6	1	0.56	0.82	0.62	0.54	0.62	0.85	0.75	0.82	0.67	0.67	0	0.83	0.86	0	0.62	0.83	0.89	0.69	0.57	0.67	0.46	0.45	0.63	0.81	0.83
chr1:18585113	0.29	0.38	0.25	0.33	0.52	0.25	0.6	0.5	0.55	0.5	0.29	0.55	0.57	0.45	0.44	0.4	0.54	0.56	0.36	0.68	0.38	0	0.45	0.5	0.43	0.37	0.67	0.47	0.8	0.42	0.42	0.58	0.63	0.35	0.07	0.31	0.7	0.28	0.47	0.5	0.58	0.55	0.39	0.37	0.54	0.37	0.43	0.31	0.41	0.38	0.26	0.45	0.81	0.54	0	0.47	0.33	0.41	0.44	0.61	0.17	0.54	0.58	0.4	0.47	0.56	0.58	0.88	0.33	0.5	0.73	0.6	0.57	0.45	0.44	0.65	0	0.44	0.42	0.33	0.38	0.43	0.71	0.82	0.38	0.25	0.65	0.58	0.44	0.25	0.42	0.36	0.54	0.72	0.55	0.71	0.29	0.47	0.53	0.62	0.56	0.41	0.35	0.67	0.38	0.19	0.67	0.32	0.48	0.33	0.54	0.19	0.53	0.53	0.42	0.25	0.43	0.44	0.65	0.6	0.25	0.36	0.52	0.44	0.76	0.33	0.63	0.29
chr1:18674488	0.79	0.57	0.71	0.7	0.84	0.53	0.5	0.63	0.52	0.69	0.67	0.59	0.64	0.65	0.81	0.65	0.58	0.67	0.89	0.75	0.73	0.57	0.59	0.68	0.52	0.6	0.72	0.62	0.57	0.63	0.86	0.64	0.74	0.77	0.72	0.8	0.69	0.92	0.62	0.69	0.62	0.7	0.8	0.67	0.63	0.79	0.78	0.57	0.81	0.84	0.64	0.73	0.73	0.39	0.86	0.83	0.91	0.65	0.79	0.67	0.86	0.87	0.58	0.8	0.79	0.63	0.58	0.59	0.53	0.67	0.7	0.61	0.65	0.67	0.65	0.71	0.71	0.57	0.81	0.72	0.81	0.76	0.71	0.4	0.69	0.65	0.83	0.64	0.65	0.47	0.53	0.81	0.75	0.57	0.68	0.86	0.54	0.5	0.9	0.74	0.8	0.73	0.56	0.8	0.81	0.47	0.6	0.81	0.67	0.7	0.89	0.95	0.58	0.83	0.68	0.91	0.88	0.58	0.61	0.58	0.7	0.68	0.65	0.47	0.68	0.75	0.54	0.93
chr1:18794797	0	0.75	0	0	0	0	0	0	0.77	0	0.67	0.88	0.6	0	0.43	0.83	0.83	0.4	0.42	0.57	0	0.75	0	0.71	0.38	0	0.5	0	0.86	0.71	0.8	0	0	0	1	0	0.8	0	0	0	0.44	0.67	1	0	0.86	0.62	0	0	0.8	0.6	0.78	0	0.57	0.67	1	0	0.6	0.83	0	0.5	1	0	0.8	0.75	0.75	0	0.4	0	0.2	0	0.73	0.67	0.8	0.36	0.88	1	0	0.86	0	0.62	0.6	0	0	0	0	0	0.6	0.82	0	0.64	0.6	0.5	0	0	0	0	0.89	1	0.73	0	0	0	0.82	0	0.75	0.71	0.67	1	0.83	0.5	0	0	0.8	0.4	0.9	0.4	0	0.8	0.8	0.8	0.43	0	0.75	0.33	0.8	1	0.74	0
chr1:19338640	0.67	1	0.75	0	0.71	0	0.57	0.2	0	0.71	0.7	0.69	0	0.8	0.58	0	0	0	0.7	0.44	0	0.33	0.75	1	1	0.86	1	0	0	1	0	0	0.71	0	0.29	1	0.8	0	0	0	0.67	1	0.8	0.88	0.57	1	0.73	0.67	0.88	0.25	0.5	1	0.8	0.8	0.8	0.67	0.71	0.89	0	0	0	0.88	0.8	0.6	0	0.17	0.3	0	0	0	0.64	0.53	1	0.27	0.71	0.8	0	0.79	0.9	1	1	0.67	0	0	0	0	0	0.8	0	0.62	0.67	0	0	0.64	0	0.57	0.67	0.88	1	0	0	0.82	0.2	0	0.8	0.8	1	0.67	0.67	0.67	0	1	1	0.71	0.67	0.5	0	0.33	0.5	0.8	0.57	0	0.86	0	0	1	0.85	0
chr1:19643228	0.75	0.33	0.17	0.53	0.36	0.5	0.62	0.6	0	0	0.6	0.56	0.71	0.8	0.64	0.88	0.75	0.5	0.26	0.67	0.86	0.5	0.76	0.69	0.52	0.7	0.79	0.45	0.5	0.67	0.88	0.73	0.93	0.55	0.4	0.71	0.73	0.67	0.59	0.47	0.8	0.69	0.57	0.8	0.71	0.31	0.42	0.57	0.69	0.56	0.59	0.41	0.83	0.68	0.31	0.62	0.36	0.67	0.75	0.54	0.53	0.64	0.67	0.52	0.68	0.76	0.59	0.75	0.71	0.11	0.59	0.46	0.73	0.38	0.33	0.62	0.7	0.89	0.88	0.72	0.71	0.25	0.46	0.87	0	0.5	0.46	0.67	0.67	0.44	0.41	0.38	0.6	0.85	0.67	0.8	0.53	0.55	0.54	0.58	0.57	0.56	0.53	0.38	0.43	0.65	0.75	0.38	0.19	0.73	0.44	0.36	0.45	0.86	0.69	0.67	0.67	0.43	0.47	0.82	0.71	0.36	0.64	0.37	0.55	0.47	0.57	0.5
chr1:20330285	1	0	1	0	0.67	0	1	0	0	0	0.4	0.89	1	0	0.78	0.67	0.4	0	0	0.86	0	0	1	0.71	0.88	0	0	0	0.62	0.67	0	0	0	0	0	1	0	0	0	0.86	0	0.8	0	1	1	1	0.8	0.57	0	0.8	0.83	1	0	0.71	0	0.71	1	1	0.8	0	1	1	0	0.71	0	0	0.62	0	0.6	0	0.78	1	0	0.55	0.75	0	0	0.89	0.83	0.83	1	0	0.4	0	0	0.67	1	0.83	0	1	0.5	1	0	0.89	0	0	0	0	1	0	0	1	0.9	0	0.86	0.83	1	0	0.86	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0.89	0.71	0	0.91	1	0
chr1:20512089	0.22	0.17	0.5	0.31	0.2	0.5	0.43	0.4	0.33	0.5	0.2	0.3	0	0	0	0.42	0.5	0.33	0.38	0.55	0	0.28	0.13	0.26	0.43	0.4	0.5	0.41	0.5	0.62	0.5	0.6	0	0.64	0.11	0.69	0.25	0.22	0.43	0.23	0.53	0.38	0.47	0.62	0.47	0.28	0.13	0.44	0.28	0.5	0.43	0.47	0.4	0.44	0.4	0.55	0.58	0.46	0.32	0.17	0.53	0.2	0.31	0.33	0.38	0.27	0.33	0.25	0.38	0.27	0.46	0.39	0.56	0.42	0.36	0.29	0	0.33	0.67	0.24	0.45	0.41	0.88	0.56	0.25	0.26	0.33	0.6	0.33	0.59	0.31	0.33	0.6	0.26	0.46	0.29	0.55	0.24	0.39	0.25	0.4	0.2	0.29	0.58	0.38	0.48	0.28	0.4	0.5	0.35	0.38	0.4	0.5	0.17	0.6	0.45	0	0.25	0.35	0.29	0.5	0.12	0.47	0.43	0.11	0.58	0.41	0.6
chr1:21511360	0.71	0	0.5	0.6	0.4	0	0.45	0	0.5	0.33	0.4	0.67	0.67	0.5	0.54	0.75	0.29	0	0.75	0.33	1	0.44	0.71	0.57	0.55	0	0.38	0.5	0	0.57	0.67	0	0.83	0	0.4	0.29	0.38	0.71	0	0	0.73	0.43	0.5	0.56	0.7	0.88	0.67	0.67	0.67	0.6	0.12	0	0.69	0	0.5	0.38	0.67	0.4	1	1	0.5	0	0.62	0.29	0.55	0.41	0.41	0.45	0.14	0.71	0.31	0.46	0	0.4	0.8	0.43	0	0.38	0.5	0.5	0.5	0.44	0	0.88	0.67	0.56	0.67	0.58	0	0.71	0	0.29	0.75	0.69	0.54	0	0.57	0.64	0.67	1	0.6	0.53	0.4	0.5	0.62	0.82	0.75	0.58	0.56	0.6	0.6	0	0.29	0	0.31	0	0	0	0.5	0.56	0.67	0.71	0.67	0.6	0.5	0.56	0.69	0
chr1:21946950	0	0.5	0.17	0.33	0.71	0	0.33	0	0.6	0	0.78	0.56	0	0	0.67	0	0.43	0.6	0.22	0.6	0	0.29	0.83	0.62	0.56	0	0.83	1	0.44	0.56	0.2	0	0	0	0.5	0.33	0	0	0	0.4	0.17	0.4	0.57	0.8	0.6	0.5	0.78	0.62	0.25	0	0.46	0.43	0.4	0.67	0.4	0.56	0.8	0.38	0.5	0	0.2	0.57	0	0.4	0.2	0	0.5	0.5	0.57	1	0.83	0.7	0.67	0.41	0.5	0.8	0	0	0.43	0.67	0	0.56	0	0.6	0	0.5	0.64	0.44	0.4	0.58	0.29	0.71	0.56	0.77	0.75	0.86	0	0	0.5	0	0	0.88	0.44	0	0.5	0.5	0.5	0.12	1	0.38	0	0.56	0	0	0	0	0	0.5	0.58	1	0.62	0.4	0.71	0	0	0.38	0.46	0
chr1:22172531	1	0	0	1	0	0.6	0	0	0.83	0	0	1	0	0	0.78	0	0	0	0.33	0.67	0	0	0.67	0.89	0.8	1	0.83	0	0	0	0	0	0.8	0	1	0	0	1	0	1	0	0	1	0.86	0.88	0	0.91	0	0	1	0.8	0	0	0.78	1	1	0	0.8	1	0	1	0	1	1	0	0.6	0.67	0.83	0.62	0	0.88	0.71	0	1	0.67	0	0	0.88	0.6	0.8	0	1	0	0	0	0.86	1	0.83	0	1	0	0.73	0.6	0.85	0	0	0.88	0.83	0	0	0	1	0.75	0.8	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0.5	0	0	1	0.75	0.6	1	0.86	1	0
